Station,Lat,Long,Town,River,High Level,Color
Thirsk,54.235258,-1.341973,Thirsk,Cod Beck,2,"rgba(255, 0, 0)"
Castleton,54.466168,-0.944968,Castleton,River Esk,2,"rgba(255, 0, 0)"
Portwood,53.42353,-2.141405,Bredbury,Tame,0.422,"rgba(0, 204, 0)"
Ilfracombe Lambda,51.196412,-4.120133,Ilfracombe,East Wilder Brook,0.326,"rgba(0, 204, 0)"
Wanes Blades,53.607043,-2.793103,Newburgh,Douglas,2.75,"rgba(255, 0, 0)"
Bulwell,53.009557,-1.190048,Bulwell,River Leen,1.1,"rgba(255, 0, 0)"
Nutclough,53.744763,-2.010569,Hebden Bridge,Hebden Water,0.97,"rgba(255, 0, 0)"
Rodbourne,51.571821,-1.816698,Haydon Wick,Ray (Wilts),1.32,"rgba(255, 0, 0)"
Edgware Hospital,51.607093,-0.271414,Edgware,Silk Stream,2,"rgba(255, 0, 0)"
Sawbridgeworth,51.812151,0.158674,Sawbridgeworth,Stort,1.45,"rgba(255, 0, 0)"
Witham Friary,51.169425,-2.364153,Witham Friary,Somerset Frome,0.379,"rgba(0, 204, 0)"
Glemsford,52.09308,0.693213,Stanstead,River Glem,1.04,"rgba(255, 0, 0)"
Donington Bridge,52.90501,-0.255888,Bridge End,South Forty Foot,2.59,"rgba(255, 0, 0)"
Saintbridge,51.848419,-2.217412,Gloucester,Twyver,0.042,"rgba(0, 204, 0)"
Horton weir,51.257785,1.030079,Chartham,Great Stour,1,"rgba(255, 0, 0)"
Barnsley,53.560696,-1.473078,Barnsley,River Dearne,1,"rgba(255, 0, 0)"
White Water Dyke,51.121217,0.85627,Kingsnorth,White Water Dyke Tributary  East Stour,0.338,"rgba(0, 204, 0)"
Winsford Road,51.435695,-0.027404,Catford,Pool River,0.75,"rgba(255, 194, 0)"
East Budleigh,50.652217,-3.320001,East Budleigh,Budleigh Brook,0.666,"rgba(255, 194, 0)"
Oulton Broad,52.474903,1.71041,Oulton Broad,River Waveney,1.31,"rgba(255, 0, 0)"
Beggearn Huish,51.14633,-3.373795,Washford,Washford River,0.5,"rgba(255, 194, 0)"
Beaminster,50.807196,-2.739279,Beaminster,River Brit,0.62,"rgba(255, 194, 0)"
Abingdon,51.666656,-1.305189,Abingdon,Ock,0.9,"rgba(255, 0, 0)"
Haltwhistle,54.967781,-2.460104,Haltwhistle,River Tyne,2,"rgba(255, 0, 0)"
Bridge Rule,50.799229,-4.450269,Bridge Rule,River Tamar,2.3,"rgba(255, 0, 0)"
Duffield,52.998306,-1.525391,Windley,River Ecclesbourne,0.9,"rgba(255, 0, 0)"
Sewards Bridge,51.086429,-1.181847,New Alresford,Cheriton Stream,0.6,"rgba(255, 194, 0)"
Evesham,52.092165,-1.942876,Evesham,River Avon,1.9,"rgba(255, 0, 0)"
Butts Bridge,52.226571,-2.730348,Butts Bridge,Lugg,2.6,"rgba(255, 0, 0)"
Zoon's Court Flood Storage,51.868902,-2.196045,Gloucester,Horsbere Brook,0.519,"rgba(255, 194, 0)"
Leasingham Mill,53.022732,-0.379369,Evedon,Slea,0.554,"rgba(255, 194, 0)"
Cockfield,52.135453,0.794489,Cockfield,River Brett,0.75,"rgba(255, 194, 0)"
Beetham Weir,54.218531,-2.774107,Beetham,River Bela,0.669,"rgba(255, 194, 0)"
Crookham Village,51.262934,-0.867562,Crookham Village,Hart,1.36,"rgba(255, 0, 0)"
Marston on Dove,52.855534,-1.648727,Rolleston On Dove,River Dove,1.75,"rgba(255, 0, 0)"
Brendon,51.219143,-3.751991,Brendon,East Lyn River,2.5,"rgba(255, 0, 0)"
Evenlode Bridge,51.95095,-1.679842,Evenlode,Evenlode,1.68,"rgba(255, 0, 0)"
Bodiam Avenue,51.832287,-2.270144,Gloucester,Daniels Brook,0.162,"rgba(0, 204, 0)"
Bray Lock,51.509305,-0.69032,Bray,Thames,3.88,"rgba(255, 0, 0)"
Lexden,51.89895,0.851031,Beacon End,River Colne,1.54,"rgba(255, 0, 0)"
Farnworth,53.557357,-2.388815,Farnworth,Croal,0.7,"rgba(255, 194, 0)"
Kilham's Bridge,51.898975,0.358984,North Wootton,Wallington,3.448,"rgba(255, 0, 0)"
Leek,53.1201,-2.012802,Leek,River Churnet,0.505,"rgba(255, 194, 0)"
