Station,Lat,Long,Town,River,High Level,Color
Ouse Bridge,54.677997,-3.24495,Dubwath,Derwent,2.21,"rgba(255, 0, 0)"
Redhill,51.239844,-0.166451,Redhill,Redhill Brook,2,"rgba(255, 0, 0)"
Ramsbottom Weir,53.650068,-2.31342,Ramsbottom,Irwell,1.8,"rgba(255, 0, 0)"
Six Arches,53.937868,-2.770317,Scorton,Wyre,2.52,"rgba(255, 0, 0)"
St Johns Weir,51.580872,-2.094819,Malmesbury,Sherston Avon,0.542,"rgba(255, 194, 0)"
Kirkby On Bain,53.144196,-0.140051,Kirkby On Bain,River Bain,1.1,"rgba(255, 0, 0)"
Sharpness,51.717437,-2.482837,Newtown,River Severn,10.2,"rgba(255, 0, 0)"
Hardman Way,53.69442,-2.466407,Darwen,Darwen,1.125,"rgba(255, 0, 0)"
Wharncliffe Side,53.445208,-1.549184,Sheffield,River Don,2.1,"rgba(255, 0, 0)"
Lamarsh,51.987468,0.752212,Lamarsh,River Stour,1.65,"rgba(255, 0, 0)"
Ilchester,51.003358,-2.683234,Ilchester,River Yeo,2.9,"rgba(255, 0, 0)"
Budleigh Brook,50.656145,-3.324921,East Budleigh,Budleigh Brook,0.651,"rgba(255, 194, 0)"
Gipton South Parkway,53.812894,-1.481054,Leeds,Wyke Beck,0.12,"rgba(0, 204, 0)"
Cox's Flume,51.889683,-2.062296,Cheltenham,Chelt,1.3,"rgba(255, 0, 0)"
Brooklands,51.346115,-0.465049,Byfleet,Wey,2.65,"rgba(255, 0, 0)"
"Harrow, Village Way",51.57755,-0.380271,North Harrow,Yeading Brook,0.9,"rgba(255, 0, 0)"
Keighley,53.864265,-1.904159,Keighley,River Worth,1,"rgba(255, 0, 0)"
Reedham,52.559314,1.570041,Reedham,River Yare,2.03,"rgba(255, 0, 0)"
Offenham,52.100775,-1.910164,Aldington,Badsey Brook,1.112,"rgba(255, 0, 0)"
Chalford,51.723887,-2.130978,Stroud,Frome (MI),0.5,"rgba(255, 194, 0)"
West Ayton,54.251128,-0.484316,East Ayton,River Derwent,0.377,"rgba(0, 204, 0)"
Charmouth,50.739791,-2.891657,Charmouth,River Char,1.13,"rgba(255, 0, 0)"
Littleborough,53.645347,-2.092047,Littleborough,Roch,0.447,"rgba(0, 204, 0)"
"Hemel Hempstead, Bury Mill,",51.757619,-0.475391,Hemel Hempstead,Gade,0.53,"rgba(255, 194, 0)"
Polson Bridge,50.640271,-4.330759,Liftondown,River Tamar,3,"rgba(255, 0, 0)"
Calthorpe Park,52.460104,-1.897221,Edgbaston,River Rea,0.416,"rgba(0, 204, 0)"
Penshurst,51.172608,0.173074,Penshurst,Eden Tributary  Medway,1.75,"rgba(255, 0, 0)"
St Neots,52.242947,-0.263656,St Neots,River Great Ouse,1.1,"rgba(255, 0, 0)"
Farnham,51.209424,-0.803594,Farnham,Wey,0.97,"rgba(255, 0, 0)"
Thacka Beck Reservoir,54.668303,-2.76746,"Townhead, Penrith",Thacka Beck,0.15,"rgba(0, 204, 0)"
Norley Bridge,50.779388,-4.127794,Northlew,River North Lew,0.424,"rgba(0, 204, 0)"
Ordsall,53.308371,-0.942655,Ordsall,River Idle,0.85,"rgba(255, 0, 0)"
Bedford Road Sluice,52.229163,-0.868182,Great Houghton,Nene (N'hampton-Wollaston),1.041,"rgba(255, 0, 0)"
Frenchay,51.492586,-2.523813,Hambrook,Bristol Frome,2.1,"rgba(255, 0, 0)"
Westwick Weir,54.098062,-1.457119,Skelton On Ure,River Ure,2.5,"rgba(255, 0, 0)"
Church Stretton,52.5405,-2.801605,Church Stretton,Ash Brook,0.21,"rgba(0, 204, 0)"
Higham Avenue,53.407175,-2.608928,Dallam,Sankey Brook,2.34,"rgba(255, 0, 0)"
Selby Westmill,53.786072,-1.066528,Selby,River Ouse,4.3,"rgba(255, 0, 0)"
Upper Pound,51.998663,-2.155508,Tewkesbury,River Avon,2.8,"rgba(255, 0, 0)"
Bywell,54.94992,-1.940633,Bywell,River Tyne,4.6,"rgba(255, 0, 0)"
Woodyates,50.974908,-1.978577,Woodyates,Groundwater level,102,"rgba(255, 0, 0)"
Morpeth,55.167634,-1.6945,Morpeth,Wansbeck,25.7,"rgba(255, 0, 0)"
Isleham,52.357278,0.418569,Isleham,Lark,2.19,"rgba(255, 0, 0)"
Dore Twenty Well Lane,53.326618,-1.516187,Dore,River Sheaf,0.5,"rgba(255, 194, 0)"
Hayes Basin,52.735118,-2.960681,Alberbury,Field Drain,0.97,"rgba(255, 0, 0)"
Trengoffe,50.477206,-4.595304,Mount,Warleggan River,0.714,"rgba(255, 194, 0)"
Yeoford,50.775566,-3.718339,Yeoford,River Yeo,2,"rgba(255, 0, 0)"
Fishlake,53.61394,-0.990666,Fishlake,River Don,3.176,"rgba(255, 0, 0)"
Summerstown,51.428571,-0.187677,Merton,Wandle,3.295,"rgba(255, 0, 0)"
Bissoe,50.229401,-5.120933,Bissoe,Carnon River,0.864,"rgba(255, 0, 0)"
Stony Stratford,52.053714,-0.855119,Stony Stratford,River Great Ouse,0.304,"rgba(0, 204, 0)"
Magpie Hall Lane,51.385199,0.047688,Hayes,Ravensbourne,1.4,"rgba(255, 0, 0)"
Brompton,54.363181,-1.418526,Brompton,Brompton Beck,1.21,"rgba(255, 0, 0)"
Ashbrook,53.165868,-2.494907,Wimboldsley Green,Weaver,2.6,"rgba(255, 0, 0)"
Dewsbury,53.688481,-1.634418,Dewsbury,River Calder,2.7,"rgba(255, 0, 0)"
Sulham,51.462237,-1.077263,Sulham,Sulham Brook,0.4,"rgba(0, 204, 0)"
Lilford,52.442977,-0.492641,Pilton,Nene (Wollaston-Wansford),1.3,"rgba(255, 0, 0)"
Hebden Bridge,53.741165,-2.027245,Hebden Bridge,River Calder,0.75,"rgba(255, 194, 0)"
Millbrook,50.919652,-1.447963,Millbrook,Tanners Brook,0.5,"rgba(255, 194, 0)"
Little Hadham,51.884165,0.09127,Little Hadham,Ash (Hertfordshire),0.52,"rgba(255, 194, 0)"
Oakley Cross Beck,54.62791,-1.7258,West Auckland,Oakley Cross Beck,0.8,"rgba(255, 0, 0)"
Pinkhill Lock,51.761748,-1.362413,Farmoor,Thames,0.286,"rgba(0, 204, 0)"
Hexham Tanners Row upstream,54.973701,-2.105879,Hexham,Cockshaw Burn,1.3,"rgba(255, 0, 0)"
Salisbury Bourne,51.062826,-1.779755,Salisbury,River Bourne,1.22,"rgba(255, 0, 0)"
Church Wilne,52.880685,-1.346428,Shardlow,River Derwent,1.6,"rgba(255, 0, 0)"
Union Bridge,50.529998,-3.614031,Newton Abbot,River Lemon,1.2,"rgba(255, 0, 0)"
Market Rasen,53.38885,-0.330909,Market Rasen,Rase,0.68,"rgba(255, 194, 0)"
Twyford,51.484806,-0.880942,Charvil,Loddon,1.93,"rgba(255, 0, 0)"
Red Rock,53.583885,-2.637387,Red Rock,Douglas,1.1,"rgba(255, 0, 0)"
Melton Park,52.762225,-0.889833,Melton Mowbray,River Wreake,1.26,"rgba(255, 0, 0)"
Collingham,53.912329,-1.418426,Collingham,River Wharfe,1.585,"rgba(255, 0, 0)"
High Street West,53.445001,-1.964573,Glossop,Glossop Brook,0.6,"rgba(255, 194, 0)"
Melford,52.412682,0.762195,Thetford,Thet,0.568,"rgba(255, 194, 0)"
"White House Gardens, Penrith",54.661143,-2.747001,"White House Gardens, Penrith",Thacka Beck,0.396,"rgba(0, 204, 0)"
Chulmleigh,50.907767,-3.863651,Chulmleigh,Little Dart,1.5,"rgba(255, 0, 0)"
Colston Bassett,52.896019,-0.962231,Colston Bassett,River Smite,1.7,"rgba(255, 0, 0)"
Stokesley Upstream,54.473986,-1.173419,Stokesley,River Leven,2.5,"rgba(255, 0, 0)"
Minsterworth,51.850206,-2.336612,Minsterworth,River Severn,5.7,"rgba(255, 0, 0)"
Compton Dando,51.380436,-2.506812,Compton Dando,Chew River,2.5,"rgba(255, 0, 0)"
Bargate Weir,53.213742,-0.55188,Boultham,Witham,0.59,"rgba(255, 194, 0)"
Perlethorpe,53.233981,-1.032134,Perlethorpe,River Meden,0.47,"rgba(0, 204, 0)"
Norton Bavant,51.1839,-2.132143,Norton Bavant,River Wylye,0.45,"rgba(0, 204, 0)"
Hawley,51.423959,0.230865,Hawley,Darent,0.41,"rgba(0, 204, 0)"
Wokingham,51.40345,-0.836924,Wokingham,Emm Brook,1.2,"rgba(255, 0, 0)"
Trews Weir,50.716251,-3.527368,Exeter,River Exe,4,"rgba(255, 0, 0)"
Truro,50.264906,-5.060481,Truro,River Kenwyn,1.3,"rgba(255, 0, 0)"
Saltaire,53.840066,-1.789021,Saltaire,River Aire,1.1,"rgba(255, 0, 0)"
Buxted,50.989265,0.127308,Buxted,Uck,1.4,"rgba(255, 0, 0)"
Bradbury,54.650589,-1.508677,Bradbury,River Skerne,1.5,"rgba(255, 0, 0)"
Romney Lock,51.491873,-0.604104,Eton,Thames,0.301,"rgba(0, 204, 0)"
Offord,52.27627,-0.223832,Offord Cluny,River Great Ouse,0.656,"rgba(255, 194, 0)"
Appley Bridge,53.577223,-2.72144,Appley Bridge,Douglas,3.348,"rgba(255, 0, 0)"
Sheepbridge Weir Mill Stream,51.381826,-0.966655,Swallowfield,Loddon,0.75,"rgba(255, 194, 0)"
Heyford Bridge,51.920573,-1.306366,Steeple Aston,Cherwell,1.3,"rgba(255, 0, 0)"
Thirlmere Reservoir (Spillway level = 16.55m),54.561659,-3.068796,Thirlmere Reservoir,Thirlmere Reservoir,16.68,"rgba(255, 0, 0)"
Lower Arncott,51.861059,-1.119228,Lower Arncott,Ray(Oxon),2,"rgba(255, 0, 0)"
Cranwell Line Sluice,53.00001,-0.427906,Sleaford,Slea,0.18,"rgba(0, 204, 0)"
Sidmouth,50.682142,-3.235982,Sidmouth,River Sid,0.088,"rgba(0, 204, 0)"
Launceston,50.641712,-4.362839,Launceston,Kensey,0.961,"rgba(255, 0, 0)"
Stonebridge,51.132785,0.453941,Horsmonden,Teise,2.5,"rgba(255, 0, 0)"
Copley,54.62006,-1.868327,Copley,River Gaunless,0.6,"rgba(255, 194, 0)"
Summerford Bridge,51.107299,0.139866,Withyham,Medway,1.8,"rgba(255, 0, 0)"
Foss Barrier,53.952443,-1.078056,York,River Ouse,7.9,"rgba(255, 0, 0)"
Caversham Lock,51.460811,-0.963635,Reading,Thames,0.262,"rgba(0, 204, 0)"
Ashbourne,53.013888,-1.738962,Ashbourne,Henmore Brook,0.351,"rgba(0, 204, 0)"
Montford,52.724474,-2.872198,Montford,River Severn,4.8,"rgba(255, 0, 0)"
Wakefield Oakenshaw,53.668661,-1.472656,Wakefield,Oakenshaw Beck,0.148,"rgba(0, 204, 0)"
Udford,54.667313,-2.659359,Edenhall,River Eamont,2,"rgba(255, 0, 0)"
Ardingly,51.038151,-0.100109,Ardingly,Shell Brook,0.8,"rgba(255, 0, 0)"
Bingley,53.85124,-1.842838,Catcliffe Drain,River Aire,1.1,"rgba(255, 0, 0)"
Chestnut Road,53.494067,-2.375559,Alder Forest,Worsley Brook,0.228,"rgba(0, 204, 0)"
Mole Mills,51.016893,-3.822486,South Molton,River Mole,1.2,"rgba(255, 0, 0)"
Sandford-on-Thames,51.708312,-1.232825,Sandford-on-Thames,Thames,0.4,"rgba(0, 204, 0)"
Sutton Bridge,52.298087,-2.55805,Tenbury,Kyre Brook,3,"rgba(255, 0, 0)"
Stone Road Farm,52.669401,0.995655,Clint Green,River Tud,1.82,"rgba(255, 0, 0)"
Earby New Cut,53.914547,-2.144584,Earby,Earby Beck,0.4,"rgba(0, 204, 0)"
Writtle,51.727462,0.441028,Widford,River Wid,0.93,"rgba(255, 0, 0)"
Rodbourne,51.554844,-2.092255,Rodbourne,Gauze Brook,0.353,"rgba(0, 204, 0)"
Kedington,52.077093,0.491629,Sturmer,River Stour,1.43,"rgba(255, 0, 0)"
Romford,51.583879,0.172001,Romford,Rom/Beam,1.75,"rgba(255, 0, 0)"
Revesby,53.125717,-0.052667,Revesby,West Fen Catchwater,2.05,"rgba(255, 0, 0)"
Torrington,50.946265,-4.137186,Great Torrington,River Torridge,3,"rgba(255, 0, 0)"
Pinxton,53.0832,-1.32769,Pinxton,River Erewash,1,"rgba(255, 0, 0)"
"Uxbridge, Philpots Bridge",51.517498,-0.476763,Yiewsley,Pinn,1.5,"rgba(255, 0, 0)"
Poole Street,51.997863,0.578311,Castle Hedingham,River Colne,1.45,"rgba(255, 0, 0)"
Meerut Road,50.824241,-1.576864,Balmerlawn,Lymington,0.37,"rgba(0, 204, 0)"
Colne Bridge,53.67527,-1.738074,Huddersfield,River Colne,1,"rgba(255, 0, 0)"
Kates Bridge,52.720446,-0.363945,Baston,River Glen,0.72,"rgba(255, 194, 0)"
Matlock,53.124099,-1.557929,Matlock Bath,River Derwent,2.5,"rgba(255, 0, 0)"
Carry Bridge,53.854769,-2.158987,Colne,Colne Water,1.35,"rgba(255, 0, 0)"
Richmond Lownthwaite Bridge,54.401122,-1.776606,Hudswell,River Swale,2,"rgba(255, 0, 0)"
Bubwith Bridge,53.819066,-0.927565,Bubwith,River Derwent,5.5,"rgba(255, 0, 0)"
"Pinner, Moss Close",51.598796,-0.376829,Pinner,Pinn,1.1,"rgba(255, 0, 0)"
Worcester Road,51.375687,-0.264339,Tolworth,Hogsmill,2.25,"rgba(255, 0, 0)"
Brent Cross,51.577539,-0.217549,Golders Green,Brent,0.9,"rgba(255, 0, 0)"
"Brent, Monks park",51.551558,-0.267837,Willesden,Brent,1.55,"rgba(255, 0, 0)"
Allerton Ings,53.740078,-1.366226,Leeds,Aire Washlands,0.3,"rgba(0, 204, 0)"
Hanwell,51.508638,-0.342569,Norwood Green,Brent,3.189,"rgba(255, 0, 0)"
South Wigston,52.573856,-1.13453,South Wigston,River Sence (Soar),1.607,"rgba(255, 0, 0)"
Brown Howe,54.307391,-3.091306,Coniston,Coniston Water,1.382,"rgba(255, 0, 0)"
Duston Mill,52.227978,-0.934098,Duston,Wootton Brook,0.949,"rgba(255, 0, 0)"
Puslinch,50.34269,-4.005399,Yealmpton,River Yealm,1.361,"rgba(255, 0, 0)"
Worksop,53.309224,-1.138194,Worksop,River Ryton,1.05,"rgba(255, 0, 0)"
Winster Drive,53.384181,-2.825909,Netherley,Netherley Brook,0.715,"rgba(255, 194, 0)"
Olney,52.147499,-0.708027,Olney,River Great Ouse,0.372,"rgba(0, 204, 0)"
Yarm,54.512373,-1.355879,Yarm,River Tees,1.8,"rgba(255, 0, 0)"
Kettlewell,54.143807,-2.050474,Kettlewell,River Wharfe,2,"rgba(255, 0, 0)"
Dryden Street,53.794282,-2.306373,Padiham,Shaw Brook Tributary,1.26,"rgba(255, 0, 0)"
Cock Beck Sluices,53.874564,-1.253163,Tadcaster,River Wharfe,7.296,"rgba(255, 0, 0)"
"Bishops Stortford, Grange Paddocks",51.878177,0.160906,Bishop's Stortford,Stort,0.6,"rgba(255, 194, 0)"
Freemans Weir,52.619792,-1.146475,Aylestone,River Soar,0.47,"rgba(0, 204, 0)"
Harlow Mill,51.795404,0.134177,Harlow,Stort,1.58,"rgba(255, 0, 0)"
Cookham Lock,51.560993,-0.694635,Cookham,Thames,3.68,"rgba(255, 0, 0)"
Osney Lock,51.74909,-1.272781,Botley,Thames,0.12,"rgba(0, 204, 0)"
Swallowfield Side Channel,51.377564,-0.952526,Swallowfield,River Blackwater,0.728,"rgba(255, 194, 0)"
Manor House Gardens,51.45563,0.00613,Hither Green,Quaggy,0.7,"rgba(255, 194, 0)"
Kielder Burn,55.245179,-2.561466,Kielder,Kielder Burn,1.7,"rgba(255, 0, 0)"
Toynton Fenside,53.144479,0.086945,Toynton Fen Side,East fen Catchwater,2.07,"rgba(255, 0, 0)"
Wherwell RL,51.166603,-1.441818,Wherwell,Test,0.5,"rgba(255, 194, 0)"
Beech Hill,51.385195,-1.002649,Grazeley,Foudry Brook,2,"rgba(255, 0, 0)"
Cappenham,52.131783,-0.962049,Cappenham,River Tove,0.582,"rgba(255, 194, 0)"
Slaughterbridge,50.640424,-4.675182,Camelford,River Camel,1,"rgba(255, 0, 0)"
Weedon,52.229209,-1.080484,Weedon Bec,Weedon Beck,0.177,"rgba(0, 204, 0)"
Markyate,51.838108,-0.461149,Markyate,Ver,0.88,"rgba(255, 0, 0)"
Hadfields,53.413919,-1.416218,Tinsley,River Don,0.9,"rgba(255, 0, 0)"
Kirkby Mills,54.260305,-0.919219,Kirkby Mills,River Dove,0.522,"rgba(255, 194, 0)"
Babraham,52.131206,0.205231,Babraham,River Granta,0.235,"rgba(0, 204, 0)"
Keynsham RL,51.421461,-2.492956,Keynsham,River Avon,2.093,"rgba(255, 0, 0)"
Aldwark Bridge,54.053636,-1.288144,Aldwark,River Ure,3,"rgba(255, 0, 0)"
IPING MILL,50.999232,-0.786847,Midhurst,Rother (West Sussex),1.1,"rgba(255, 0, 0)"
"Hoddesdon, Rye Bridge",51.770008,0.006126,Hoddesdon,Lee,3.1,"rgba(255, 0, 0)"
Weston Bampfylde,51.023159,-2.565568,Weston Bampfylde,River Cam,0.6,"rgba(255, 194, 0)"
Forde Abbey,50.841739,-2.916366,Forde Abbey,River Axe,1.5,"rgba(255, 0, 0)"
Wooler,55.547487,-2.011059,Wooler,Wooler Water,1.1,"rgba(255, 0, 0)"
Linton,52.093158,0.292511,Linton,River Granta,0.74,"rgba(255, 194, 0)"
Maidenbower,51.110238,-0.153871,Maidenbower,Gatwick Stream,2,"rgba(255, 0, 0)"
North Cave,53.77313,-0.651055,North Cave,Mires Beck,0.32,"rgba(0, 204, 0)"
Mimmshall Brook,51.706896,-0.217824,South Mimms,Mimmshall Brook,1,"rgba(255, 0, 0)"
Comberton,52.175048,0.01962,Comberton,Bourn Brook,0.838,"rgba(255, 0, 0)"
Burcote,52.555203,-2.376056,Allscott,River Worfe,0.55,"rgba(255, 194, 0)"
Sandhurst,51.887818,-2.256949,Maisemore,River Severn,3,"rgba(255, 0, 0)"
Brackley,52.031808,-1.132641,Brackley,River Great Ouse,1.492,"rgba(255, 0, 0)"
St Andrews Mill,52.244802,-0.905866,Northampton,Nene - Brampton Branch,1.26,"rgba(255, 0, 0)"
Albert Royds Bridge,53.62694,-2.13755,Smallbridge,Roch,1.3,"rgba(255, 0, 0)"
Lifton Park,50.635525,-4.279753,Lifton,River Lyd,2.3,"rgba(255, 0, 0)"
Calne,51.438369,-2.003555,Calne,River Marden,0.477,"rgba(0, 204, 0)"
Wakefield,53.677173,-1.491306,Wakefield,River Calder,0.75,"rgba(255, 194, 0)"
North Molton,51.055152,-3.795036,North Molton,River Mole,1.1,"rgba(255, 0, 0)"
Godmanchester,52.318507,-0.176335,Godmanchester,River Great Ouse,0.488,"rgba(0, 204, 0)"
Newbury,51.401605,-1.323874,Newbury,Kennet,5.5,"rgba(255, 0, 0)"
Woodford Halse,52.167771,-1.212815,Hinton,Cherwell,2,"rgba(255, 0, 0)"
Glusburn Bridge,53.897872,-2.008295,Glusburn,Eastburn Beck,0.435,"rgba(0, 204, 0)"
Fosseway,51.581999,-2.158019,Easton Grey,Sherston Avon,0.55,"rgba(255, 194, 0)"
Bridgham,52.432388,0.877025,Bridgham,Thet,0.503,"rgba(255, 194, 0)"
Maiden Newton,50.776561,-2.574345,Maiden Newton,River Frome,0.74,"rgba(255, 194, 0)"
Goytside Farm,53.357485,-1.996738,New Mills,Goyt,1.5,"rgba(255, 0, 0)"
Barnes,51.47009,-0.245065,Barnes,Beverley Brook,2.14,"rgba(255, 0, 0)"
Whitchurch Lock,51.486605,-1.088869,Pangbourne,Thames,0.164,"rgba(0, 204, 0)"
Farrer Lane,53.747992,-1.448902,Oulton,Oulton Beck,0.6,"rgba(255, 194, 0)"
"Preesall Pumping Station, Cockers Dyke",53.938698,-2.955067,Pilling Lane,Cockers Dyke,1.5,"rgba(255, 0, 0)"
Hornchurch,51.546517,0.183966,Elm Park,Beam,2.6,"rgba(255, 0, 0)"
Austins Bridge,50.479033,-3.761402,Buckfastleigh,River Dart,1.8,"rgba(255, 0, 0)"
Cae Howel,52.74743,-2.972211,Melverley,River Severn,3.4,"rgba(255, 0, 0)"
High Green,53.467219,-1.473784,Sheffield,Charlton Brook,0.35,"rgba(0, 204, 0)"
Bishopstoke,50.970553,-1.344248,Bishopstoke,Itchen,1.7,"rgba(255, 0, 0)"
Great Easton Flood Storage Reservoir,52.529248,-0.758769,Great Easton,Nene (Wollaston-Wansford),1.79,"rgba(255, 0, 0)"
Kirk Bramwith,53.596385,-1.063688,Kirk Bramwith,River Don,3.935,"rgba(255, 0, 0)"
Boscadjack,50.131125,-5.255319,Wendron,River Cober,1.1,"rgba(255, 0, 0)"
"Enfield, The Chine",51.643461,-0.095003,Winchmore Hill,Salmon Brook,2.1,"rgba(255, 0, 0)"
Blandford,50.853069,-2.167089,Blandford St Mary,River Stour,1.1,"rgba(255, 0, 0)"
Todmorden Salford,53.710539,-2.101856,Todmorden,Walsden Water,1.25,"rgba(255, 0, 0)"
Castleford,53.731002,-1.358177,Castleford,River Aire,2,"rgba(255, 0, 0)"
Stanford Bridge,52.28899,-2.418688,Stanford Bridge,River Teme,1.367,"rgba(255, 0, 0)"
Braystones,54.440158,-3.529373,Braystones,River Ehen,1.7,"rgba(255, 0, 0)"
Compstall,53.413802,-2.058026,Compstall,Etherow,0.75,"rgba(255, 194, 0)"
Brinksway,53.407306,-2.174445,Stockport,Mersey,1.5,"rgba(255, 0, 0)"
Besford Bridge,52.114425,-2.108012,Pershore,Bow Brook,1.9,"rgba(255, 0, 0)"
Birstwith,54.038156,-1.650292,Birstwith,River Nidd,1.5,"rgba(255, 0, 0)"
Kites Hardwick,52.313513,-1.314911,Kites Hardwick,River Leam,1.138,"rgba(255, 0, 0)"
Netherbury,50.789421,-2.750022,Netherbury,River Brit,1.73,"rgba(255, 0, 0)"
Windyridge Road,51.91699,-2.086745,Cheltenham,Wymans Brook,0.39,"rgba(0, 204, 0)"
Bardsey,53.883728,-1.440943,Bardsey,Bardsey Beck,1.38,"rgba(255, 0, 0)"
Woodlands Road,51.405031,0.056251,Bickley,Kyd Brook,1.9,"rgba(255, 0, 0)"
Dane End,51.875292,-0.062702,Dane End,Beane,1.2,"rgba(255, 0, 0)"
Manthorpe,52.731094,-0.419825,Manthorpe,East Glen (To Kates Bridge),0.89,"rgba(255, 0, 0)"
Brigflats,54.314107,-2.555012,Sedbergh,Rawthey,1.556,"rgba(255, 0, 0)"
Sampford Brett,51.155718,-3.302248,Sampford Brett,Doniford Stream,0.8,"rgba(255, 0, 0)"
Hendal Bridge,51.108316,0.172486,Groombridge,Eridge Stream Tributary  Medway,1.25,"rgba(255, 0, 0)"
Houghton,53.543567,-1.369767,Darfield,River Dearne,1.25,"rgba(255, 0, 0)"
Coney Gut,51.073179,-4.041276,Barnstaple,Coney Gut,0.815,"rgba(255, 0, 0)"
Great Ayton,54.488529,-1.135197,Great Ayton,River Leven,0.74,"rgba(255, 194, 0)"
Saltford,51.399488,-2.447727,Saltford,River Avon,1.409,"rgba(255, 0, 0)"
Kingskerswell,50.486806,-3.568943,Kingskerswell,Aller Brook,0.415,"rgba(0, 204, 0)"
Thornton le Dale,54.23945,-0.717218,Thornton le Dale,Thornton Beck,0.7,"rgba(255, 194, 0)"
"Sands Centre, Carlisle",54.898639,-2.932277,"Sands Centre, Carlisle",River Eden,2.159,"rgba(255, 0, 0)"
"Roydon, Glen Faba",51.764828,0.015113,Roydon,Stort,1.6,"rgba(255, 0, 0)"
Amesbury,51.17155,-1.785174,Amesbury,River Avon,0.7,"rgba(255, 194, 0)"
Binfield,51.433827,-0.773574,Binfield,The Cut,0.815,"rgba(255, 0, 0)"
Rothbury,55.308429,-1.895992,Rothbury,River Coquet,1.8,"rgba(255, 0, 0)"
Eynsford Close,51.383249,0.072664,Petts Wood,Kyd Brook,0.9,"rgba(255, 0, 0)"
Mapledurham Lock,51.486033,-1.039654,Mapledurham,Thames,0.212,"rgba(0, 204, 0)"
Galesyke,54.422403,-3.334074,Wasdale,Irt,0.85,"rgba(255, 0, 0)"
Bush,50.844477,-4.509166,Stratton,River Strat,1,"rgba(255, 0, 0)"
Wickford,51.61221,0.52337,Wickford,River Crouch,1.67,"rgba(255, 0, 0)"
Waxwell Lane,51.602909,-0.384264,Pinner,Pinn,0.5,"rgba(255, 194, 0)"
Rawtenstall,53.705772,-2.286263,Rawtenstall,Limey Water,0.351,"rgba(0, 204, 0)"
Lowdham Grange,53.010442,-1.024175,Lowdham,Cocker Beck,0.6,"rgba(255, 194, 0)"
Thirlmere,54.565937,-3.063696,Legburthwaite,St Johns Beck,1.5,"rgba(255, 0, 0)"
Stamp End Sluice,53.228743,-0.528903,Lincoln,Witham,0.988,"rgba(255, 0, 0)"
Pudsey,53.79812,-1.629518,Pudsey,Farnley Beck,0.4,"rgba(0, 204, 0)"
Ness,54.203845,-0.937557,East Ness,River Rye,1.3,"rgba(255, 0, 0)"
Bowston,54.36176,-2.771951,Burneside,Kent,1.2,"rgba(255, 0, 0)"
Deeping St James,52.666216,-0.280199,Deeping St James,Welland Below Peakirk,1.152,"rgba(255, 0, 0)"
Bonehayne,50.747683,-3.110915,Colyton,River Coly,1,"rgba(255, 0, 0)"
Tavistock,50.550641,-4.14273,Tavistock,Tavy,1.648,"rgba(255, 0, 0)"
"Lochinvar storage basin, Longtown",55.009258,-2.963066,Longtown,Lochinver Beck,0.5,"rgba(255, 194, 0)"
"Cheshunt, Rosedale way",51.713361,-0.060582,Flamstead End,Rags Brook,2.25,"rgba(255, 0, 0)"
West Auckland,54.633826,-1.719549,West Auckland,River Gaunless,1.27,"rgba(255, 0, 0)"
Farnham,52.188599,1.451217,Stratford St Andrew,River Alde,0.268,"rgba(0, 204, 0)"
Weybridge,51.37248,-0.466322,Weybridge,Wey,1.4,"rgba(255, 0, 0)"
Linstock,54.912827,-2.893015,Linstock,Eden,2.4,"rgba(255, 0, 0)"
Mary Tavy,50.585989,-4.106699,Mary Tavy,River Tavy,2,"rgba(255, 0, 0)"
Bloxham,52.017279,-1.380792,Bloxham,Bloxham Brook,1.11,"rgba(255, 0, 0)"
Earby Youth Hostel,53.918527,-2.130286,Earby,Earby Beck,0.227,"rgba(0, 204, 0)"
Shelley Close,52.211373,-2.215962,Worcester,Barbourne Brook,1.35,"rgba(255, 0, 0)"
Crabb Mill,51.578233,-2.074985,Lea,Woodbridge Brook,0.677,"rgba(255, 194, 0)"
Bagshot,51.361518,-0.689296,Bagshot,Windle Brook,1.35,"rgba(255, 0, 0)"
Chesterfield Tapton Bridge,53.239901,-1.420925,Chesterfield,River Rother,1.33,"rgba(255, 0, 0)"
Leighton Buzzard,51.907687,-0.668546,Leighton Buzzard,River Ouzel,0.326,"rgba(0, 204, 0)"
Dolton,50.882269,-4.065162,Dolton,River Torridge,2.7,"rgba(255, 0, 0)"
Beverley Shipyard,53.843243,-0.399574,Beverley,River Hull,3.6,"rgba(255, 0, 0)"
Corbridge,54.974805,-2.023395,Corbridge,River Tyne,3.3,"rgba(255, 0, 0)"
Worcester Park,51.380413,-0.243611,Worcester Park,Beverley Brook,1.75,"rgba(255, 0, 0)"
Audlem,52.983736,-2.518888,Coxbank,Weaver,1.7,"rgba(255, 0, 0)"
Walton-Le-Dale,53.752898,-2.680437,Preston,Ribble,3.5,"rgba(255, 0, 0)"
Morden Park,51.391152,-0.216322,Morden,Pyl Brook,1.3,"rgba(255, 0, 0)"
Kings Bromley,52.75692,-1.805399,King's Bromley,River Trent,1.521,"rgba(255, 0, 0)"
Wimbledon Common,51.431619,-0.25215,Kingston Vale,Beverley Brook,1.4,"rgba(255, 0, 0)"
Cowbeech,50.912658,0.290758,Cowbeech,Cuckmere,0.269,"rgba(0, 204, 0)"
