Station,Lat,Long,Town,River,Water Level
"Roydon, Glen Faba",51.764828,0.015113,Roydon,Stort,1.451
Amesbury,51.17155,-1.785174,Amesbury,River Avon,0.367
Binfield,51.433827,-0.773574,Binfield,The Cut,0.285
Rothbury,55.308429,-1.895992,Rothbury,River Coquet,0.79
Eynsford Close,51.383249,0.072664,Petts Wood,Kyd Brook,0
Mapledurham Lock,51.486033,-1.039654,Mapledurham,Thames,0.149
Galesyke,54.422403,-3.334074,Wasdale,Irt,0.784
Bush,50.844477,-4.509166,Stratton,River Strat,0.409
Wickford,51.61221,0.52337,Wickford,River Crouch,0.267
Waxwell Lane,51.602909,-0.384264,Pinner,Pinn,0.337
Rawtenstall,53.705772,-2.286263,Rawtenstall,Limey Water,0.352
Lowdham Grange,53.010442,-1.024175,Lowdham,Cocker Beck,0.174
Thirlmere,54.565937,-3.063696,Legburthwaite,St Johns Beck,0.226
Stamp End Sluice,53.228743,-0.528903,Lincoln,Witham,0.907
Pudsey,53.79812,-1.629518,Pudsey,Farnley Beck,0.095
Ness,54.203845,-0.937557,East Ness,River Rye,0.791
Bowston,54.36176,-2.771951,Burneside,Kent,0.442
Deeping St James,52.666216,-0.280199,Deeping St James,Welland Below Peakirk,0.99
Bonehayne,50.747683,-3.110915,Colyton,River Coly,0.213
Tavistock,50.550641,-4.14273,Tavistock,Tavy,0.989
"Lochinvar storage basin, Longtown",55.009258,-2.963066,Longtown,Lochinver Beck,0.488
"Cheshunt, Rosedale way",51.713361,-0.060582,Flamstead End,Rags Brook,0.989
West Auckland,54.633826,-1.719549,West Auckland,River Gaunless,0.231
Farnham,52.188599,1.451217,Stratford St Andrew,River Alde,0.183
Weybridge,51.37248,-0.466322,Weybridge,Wey,1.037
Linstock,54.912827,-2.893015,Linstock,Eden,1.663
Mary Tavy,50.585989,-4.106699,Mary Tavy,River Tavy,0.317
Bloxham,52.017279,-1.380792,Bloxham,Bloxham Brook,0.607
Earby Youth Hostel,53.918527,-2.130286,Earby,Earby Beck,0.133
Shelley Close,52.211373,-2.215962,Worcester,Barbourne Brook,0.643
Crabb Mill,51.578233,-2.074985,Lea,Woodbridge Brook,0.325
Bagshot,51.361518,-0.689296,Bagshot,Windle Brook,0.652
Chesterfield Tapton Bridge,53.239901,-1.420925,Chesterfield,River Rother,0.22
Leighton Buzzard,51.907687,-0.668546,Leighton Buzzard,River Ouzel,0.167
Dolton,50.882269,-4.065162,Dolton,River Torridge,0.739
Beverley Shipyard,53.843243,-0.399574,Beverley,River Hull,2.429
Corbridge,54.974805,-2.023395,Corbridge,River Tyne,1.111
Worcester Park,51.380413,-0.243611,Worcester Park,Beverley Brook,1.158
Audlem,52.983736,-2.518888,Coxbank,Weaver,0.816
Walton-Le-Dale,53.752898,-2.680437,Preston,Ribble,1.183
Morden Park,51.391152,-0.216322,Morden,Pyl Brook,0.533
Kings Bromley,52.75692,-1.805399,King's Bromley,River Trent,1.453
Wimbledon Common,51.431619,-0.25215,Kingston Vale,Beverley Brook,0.398
Cowbeech,50.912658,0.290758,Cowbeech,Cuckmere,0.345
Cherry Farm,54.303695,-1.000302,Fadmoor,Hodge Beck,0.397
Kirkby,53.47815,-2.918171,Aintree,Alt,0.547
Bedford,52.133733,-0.460042,Bedford,River Great Ouse,0.364
Willen,52.058687,-0.714748,Willen,River Ouzel,0.432
Free Prae Road,51.386331,-0.501357,Chertsey,Chertsey Bourne,1.178
Uppermill,53.542889,-2.009008,Greenfield,Tame,0.294
Wycombe Hugh,51.635574,-0.753691,High Wycombe,Hughenden Stream,0.027
Ludlow Corve,52.381603,-2.724237,Ludlow,River Corve,1.828
Ashleworth,51.922936,-2.265002,Ashleworth,River Severn,1.854
Stowmarket,52.181244,1.008338,Combs Ford,River Gipping,0.333
Smarden,51.148275,0.682267,Smarden,Beult,0.802
Perry Park,52.524933,-1.911514,Perry Barr,River Tame,0.778
Bourton Windrush,51.886693,-1.767911,Bourton-On-The-Water,Windrush,0.15
Oak Cottage,52.385318,-2.337878,Wyre Forest,Dowles Brook,0.442
Low Nibthwaite,54.284617,-3.085173,Blawith,Crake,0.68
Blackstones Farm,53.971111,-1.38968,Little Ribston,River Crimple,0.377
Eastgate,54.746819,-2.074526,Eastgate,Rookhope Burn,0.16
Hellingly,50.888318,0.244134,Hellingly,Bull,2.042
Bolingey Cocks Bridge,50.333417,-5.144361,Bolingey,Bolingey Stream,0.361
Litte Bowden Flood Storage Reservoir,52.470494,-0.909111,Little Bowden,Jordan,0.218
Bruton Surgery,51.112337,-2.451073,Bruton,River Brue,0.413
London Road,53.474178,-2.228957,Manchester,Medlock,0.348
Hythe End,51.440219,-0.535292,Hythe End,Colne Brook,0.701
Vexour Bridge,51.189651,0.160853,Chiddingstone Causeway,Eden Tributary  Medway,2.214
Snaith Ings,53.697129,-0.989661,"Hull High Flaggs, Lincoln Street",Snaith Ings,0.288
Bishops Frome,52.137017,-2.488532,Bishops Frome,Frome,0.444
Hagnaby Beck,53.106632,0.0137,Stickford,Hagnaby Beck,0.161
Clifton Lock,51.648617,-1.210808,Long Wittenham,Thames,0.208
Buttercrambe,54.019124,-0.885796,Buttercrambe,River Derwent,0.802
Debenham,52.232016,1.183613,Debenham,River Deben,0.281
Bucknall,53.017569,-2.162134,Bucknall,River Trent,0.271
Manaccan,50.081307,-5.125068,Manaccan,Manacan River,0.26
Harrison Street,53.744388,-2.490462,Blackburn,Blakewater,
Barnard Castle,54.544622,-1.928854,Barnard Castle,River Tees,0.758
Catterick Garrison,54.373262,-1.705009,Catterick Garrison,Sour Beck,0.118
Trebrownbridge,50.410447,-4.394551,Seaton,River Seaton,0.295
Hug Bridge,53.169457,-2.104665,Rushton Spencer,Dane,0.383
Cleckheaton Hightown Road,53.721955,-1.715052,Cleckheaton,Blacup Beck,0.046
Halfway Bridge,50.992202,-0.674476,Lodsworth,Lod,0.367
Water Orton,52.52039,-1.751178,Water Orton,River Tame,0.578
New Botley,51.752648,-1.281126,Botley,Bulstake Stream,1.027
Cold Harbour,51.730973,-1.251352,South Hinksey,Hinksey Stream,0.982
Burrow Beck,54.039446,-2.780563,Lancaster,Burrow Beck,0.366
Cannington,51.149147,-3.061825,Cannington,Cannington Brook,0.282
Kings College,51.397462,-0.230955,New Malden,Pyl Brook,0.435
Wray,54.105893,-2.605757,Wray,Hindburn,0.565
Boroughbridge,54.09646,-1.394448,Boroughbridge,River Ure,11.223
Sheeppen Bridge,51.654587,-1.849612,Latton,Ampney Brook,0.333
Ashford Mill,50.964926,-2.912024,Ilton,River Isle,0.162
Borehamwood,51.668568,-0.287687,Green Street,Borehamwood Brook,1.084
Manor Road,51.921925,-2.099682,Cheltenham,Wymans Brook,
Town Lock,51.194615,0.278452,Tonbridge,Medway,0.452
Acton Lane,53.395655,-3.121735,Upton,Arrowe Brook,0.417
Stilebridge,51.202357,0.515045,Linton,Beult,0.489
Redlands Lane,51.237321,-0.859739,Crondall,Hart,0.91
Doveridge,52.902503,-1.834928,Doveridge,River Dove,1.293
Sandhurst (Hatherley Brook),51.887632,-2.251427,Sandhurst,Hatherley Brook,1.553
Enslow Weir A,51.861393,-1.30321,Shipton-On-Cherwell,Cherwell,0.447
Leabridge,50.895273,0.24023,Lealands,Bull,0.551
Gunnislake,50.531278,-4.221847,Gunnislake,River Tamar,0.762
Lodsbridge,50.983264,-0.669759,Selham,Lod,3.095
Horbury,53.655883,-1.562677,Horbury,River Calder,1.148
Waltham Abbey,51.691132,0.015788,Waltham Abbey,Cobbins Brook,0.232
Carlton Bridge,53.697646,-1.023804,Snaith,River Aire,3.094
Banbury,52.066379,-1.333286,Banbury,Cherwell,0.287
Plaistow Mill,51.118685,-4.048455,Muddiford,Bradiford Water,0.288
Salisbury Harnham Bridge,51.061054,-1.794476,Salisbury,River Avon,0.549
Tongham,51.237339,-0.736289,Ash,River Blackwater,0.827
Stanneylands,53.343712,-2.232417,Styal,Dean,0.494
Brokenborough,51.602656,-2.124925,Brokenborough,Tetbury Avon,0.28
Loughton,51.640481,0.081584,Loughton,Roding,0.301
Witney,51.789786,-1.484269,Witney,Windrush,0.849
Louds Mill,50.712042,-2.414359,Stinsford,River Frome,0.191
Staines,51.431611,-0.512248,Staines,Thames,2.822
Cheswick Green,52.376154,-1.814434,Cheswick Green,River Blythe,0.391
Reaverhill,55.053183,-2.148665,Barrasford,River North Tyne,1.387
East Mills Flume,50.928396,-1.777288,Fordingbridge,River Avon,1.024
Ilam,53.053456,-1.793028,Ilam,River Manifold,0.456
Barcombe near reservoir,50.915667,0.043425,Barcombe,Ouse [So],0.537
Maesbrook,52.779686,-3.037866,Maesbrook,Flood Channel,0.341
Roe Bridge,53.862594,-2.790936,Myerscough,Brock,0.438
Sheffield Wincobank,53.423952,-1.416682,Sheffield,Blackburn Brook,0.346
Castle Mill (Bedford),52.145596,-0.405558,Bedford,River Great Ouse,0.306
Wainsford,50.458709,-4.604746,Mount,River Fowey,0.518
Send,51.287835,-0.505999,Burntcommon,East Clandon Stream,1.005
Rushey Lock,51.698716,-1.534037,Carswell Marsh,Thames,0.077
Northenden,53.408784,-2.252674,Northenden,Mersey,0.767
Old Mill Lane,53.251492,-2.120243,Macclesfield,Bollin,0.248
Cropredy Bridge,52.114915,-1.315184,Cropredy,Cherwell,1.147
Leigh Court,51.926224,-2.197575,The Leigh,Leigh Brook,0.634
Rugby,52.38548,-1.26252,Newbold On Avon,River Avon,0.708
Reedyford,53.84567,-2.22323,Barrowford,Pendle Water,0.943
Billingford,52.359187,1.182279,Oakley,River Waveney,0.387
Swanton Morley,52.725484,0.990183,Swanton Morley,River Wensum,0.236
"Pickering, Ings Bridge",54.227169,-0.788071,Pickering,Pickering Beck,0.175
Holgate,53.964636,-1.111032,Holgate,Holgate Beck,1.077
Bentham Bridge,54.113463,-2.510184,High Bentham,Wenning,0.867
Tanbridge,51.061034,-0.335071,Tanbridge,Arun,32.736
Chafford,51.144544,0.168468,Fordcombe,Medway,1.664
Biggleswade,52.085111,-0.267906,Biggleswade,River Ivel,0.247
Tamworth,52.631289,-1.697508,Lady Bridge,River Tame,1.053
Rase at Bishopbridge,53.406624,-0.44906,Bishopbridge,Ancholme,0.359
Croston,53.655882,-2.760429,Croston,Yarrow,0.511
Rodington,52.723597,-2.609812,Rodington,River Roden,0.454
Lechlade,51.692891,-1.672984,Lechlade On Thames,Leach,0.225
Sea Cut at Scarborough,54.301579,-0.423296,Scalby Mills,River Sea Cut,0.244
Doncaster,53.529564,-1.141573,Bentley,River Don,0.83
Arthington,53.903016,-1.552492,Weeton,River Wharfe,1.427
Horseshoe Bridge,53.113634,-0.600069,Bassingham,Brant,0.372
Greenholme,54.914677,-2.803045,Greenholme,River Irthing,0.771
Williton,51.159618,-3.320133,Williton,Monksilver Stream,0.115
Cundy Cross,53.551557,-1.439985,Cundy Cross,River Dearne,0.316
Broom,52.180399,-1.87505,Broom,River Arrow,0.205
Bath Destructor Bridge,51.38438,-2.37652,Twerton,River Avon,0.562
Mint Bridge,54.343531,-2.733522,Kendal,Mint,0.646
Lindfield Bridge,51.021082,-0.073715,Lindfield,Ouse [So],0.98
Highfield,53.373245,-1.46412,Sheffield,River Sheaf,0.372
Rutherford Bridge,54.50509,-1.948998,Boldron,River Greta,0.469
Ribchester School,53.811176,-2.531031,Ribchester,Ribble,1.333
Adwick le Street White Cross Bridge,53.57617,-1.176242,Adwick le Street,Ea Beck,0.347
Armley,53.801534,-1.574829,Leeds,River Aire,1.339
Upavon East,51.302514,-1.809882,Rushall,River Avon,0.279
North Muskham,53.131855,-0.803653,North Muskham,River Trent,1.298
Kirby Wiske,54.253557,-1.424704,Kirby Wiske,River Wiske,0.973
Purton Stoke,51.61322,-1.87404,Purton Stoke,Key,0.654
Cottingley Bridge,53.838116,-1.828238,Cottingley,River Aire,1.127
Croxley Green,51.645553,-0.436992,Croxley Green,Gade,0.107
York Wolfe Avenue,53.962611,-1.057605,York,Tang Hall Beck,0.305
Towcester,52.135918,-0.996201,Towcester,River Tove,0.258
Beckenham Park,51.422952,-0.007672,Grove Park,Ravensbourne,0.607
Passfield Mill,51.101202,-0.825956,Standford,Wey,1.083
Chinbrook Park,51.431438,0.027081,Grove Park,Quaggy,0.162
Court Place Farm,50.8568,-3.058949,Yarcombe,River Yarty,0.275
Germansweek,50.726814,-4.203103,Germansweek,Wolf,0.226
Stoodleigh,50.949994,-3.506375,Stoodleigh,River Exe,1.477
Dovecote Hill,54.646651,-1.672987,Bishop Auckland,River Gaunless,0.656
Langham,51.971749,0.940326,Thorington Street,River Stour,0.633
Theale,51.432753,-1.067068,Theale,Kennet,0.449
Viking Recorder,53.958791,-1.085536,York,River Ouse,1.852
North Mymms,51.718066,-0.219123,Water End,Mimmshall Brook,0.435
Pillaton,50.440154,-4.298799,Pillaton,River Lynher,0.411
Jeffy Knotts,54.422024,-2.98839,Jeffy Knotts,River Brathay,1.332
Lodge Farm,51.263973,-0.950093,North Warnborough,Whitewater,0.201
Creeting,52.167176,1.05147,Creeting St Mary,Stonham Watercourse,0.291
Bramham Screens,53.880307,-1.355437,Bramham,Bramham Beck,0.214
Chipping Sodbury,51.542061,-2.385953,Chipping Sodbury,Bristol Frome,0.65
Wembley,51.562196,-0.27948,Wembley,Wealdstone Brook,0.274
Durham New Elvet Bridge,54.776573,-1.57257,Durham,River Wear,0.593
Keswick Campsite,54.601275,-3.1492,Keswick,River Greta,1.431
Leintwardine,52.359087,-2.876144,Leintwardine,River Teme,0.963
Bradford on Avon,51.34297,-2.266608,Westwood,River Avon,1.214
Swanage Prospect Farm Swan Brook,50.613227,-1.971617,Swanage,Swan Brook,0.385
Fiddlers Ferry,53.374184,-2.653505,Penketh,Mersey,3.821
Hynam Bridge,54.894613,-2.686767,Castle Carrock,Gelt,0.656
Rockhay Bridge,50.843021,-4.122236,Sheepwash,River Torridge,0.946
Ugly Dub,55.181833,-2.45222,Kielder reservoir,River North Tyne,0.781
Lamorbey Park,51.440152,0.113674,Sidcup,Shuttle Tributary  Cray,0.453
Aylesbury,51.817792,-0.801624,Aylesbury,Bear Brook,1.194
Huddersfield Longroyd Bridge,53.641316,-1.795095,Huddersfield,Colne,0.721
Blunham,52.144358,-0.316453,Blunham,River Ivel,0.321
Leatherhead,51.294985,-0.336089,Leatherhead,Mole,1.921
Molingey,50.311776,-4.800075,London Apprentice,St Austell River,0.689
Temple,52.326416,0.578416,Icklingham,Lark,0.414
Lower Stratton,51.569689,-1.735909,Stratton St Margaret,Cole,2.015
Bat Bridge,54.145714,-1.36005,Cundall,Cundall Beck,0.163
Hayhurst Bridge,53.258272,-2.51651,Northwich,Weaver,0.706
Whitwell,51.876889,-0.28128,Whitwell,Mimram,0.04
Killington,54.310113,-2.582471,Killington,Lune,0.796
Barton on Humber,53.689056,-0.441274,Barton-Upon-Humber,Barton Haven,0.281
Loudwater,51.609179,-0.699391,Loudwater,Wye,
Grinton Bridge,54.381959,-1.929135,Grinton,River Swale,0.224
Panshanger,51.803418,-0.141267,Tewin,Mimram,0.482
Delph,53.566913,-2.021999,Delph,Tame,0.393
Old Windsor Lock,51.463198,-0.569077,Old Windsor,Thames,0.223
Sakeham Weir,50.957409,-0.265959,Wineham,Adur,1.414
Buntingford,51.946826,-0.016987,Buntingford,Rib,0.059
Culham Lock,51.6506,-1.267131,Culham,Thames,0.138
Haweswater Reservoir,54.534679,-2.769772,Haweswater Reservoir,Haweswater Reservoir,27.532
Little Woolden Hall,53.440813,-2.475817,Glazebrook,Glaze Brook,1.142
Matson Place,51.85211,-2.233328,Gloucester,Sud Brook,0.251
Moreton,51.739256,0.219552,Moreton,Cripsey Brook,0.408
Forest Row,51.095381,0.052195,Forest Row,Medway,0.349
Thrupp,51.840425,-1.30005,Thrupp,Cherwell,1.089
Benson Lock,51.617191,-1.116011,Benson,Thames,0.093
Sidbury,50.717781,-3.219793,Sidbury,River Sid,0.351
Huntingfield,52.318638,1.425054,Huntingfield,Huntingfield Watercourse,1.299
Keynsham US,51.419019,-2.487954,Keynsham,River Avon,4.962
Wakefield Westgate,53.680366,-1.509072,Wakefield,Ings Beck,0.462
Lydney,51.72971,-2.534804,Lydney,River Lyd,0.267
Henthorn,53.848003,-2.424337,Great Mitton,Ribble,1.038
Cropple Howe,54.36799,-3.339036,Eskdale Green,Esk (Cumbria),0.68
Holt Mill Bridge,53.693137,-2.257828,Waterfoot,Irwell,0.374
Fenny Castle,51.191655,-2.719186,Godney,River Sheppey,0.288
The Causeway,51.824551,-2.297854,Gloucester,Dimore Brook,0.346
Padiham Town Centre,53.800228,-2.314843,Padiham,River Calder,0.756
Langworth,53.275665,-0.402812,Langworth,Barlings Eau,0.66
Maidstone,51.271553,0.518493,Maidstone,Medway,0.519
Chesterfield Park Road Bridge,53.232965,-1.430996,Chesterfield,River Hipper,0.087
Bradworthy,50.90173,-4.392867,Bradworthy,River Waldon,0.448
Little Walsingham,52.891548,0.874601,Little Walsingham,River Stiffkey,0.22
Kildwick,53.907443,-1.984735,Kildwick,River Aire,1.006
Skibeden Beck,53.960831,-2.011844,Skipton,Haw Beck,0.315
Bamber Bridge,53.724643,-2.670129,Bamber Bridge,Lostock,0.346
Stoke Bottom Farm,51.230768,-2.487678,Nettlebridge,Mells River,0.125
Knettishall,52.390173,0.871573,Knettishall,Little Ouse,0.132
Port Isaac,50.589157,-4.830228,Port Isaac,Coastal Stream,0.187
Cardington,52.126329,-0.429108,Bedford,River Great Ouse,23.792
Waterhouses,53.04899,-1.879122,Waterhouses,River Hamps,0.405
New Bridge,51.022515,-0.477328,Newpound Common,Arun,8.928
Gwithian,50.229594,-5.388678,Gwithian,Red,0.86
Bovey Parke,50.595603,-3.682853,Bovey Tracey,River Bovey,0.567
Middleton,54.620104,-2.080488,Middleton-In-Teesdale,River Tees,0.766
Brampton Sluice,52.319854,-0.205625,Brampton,River Great Ouse,0.125
Galgate,53.991743,-2.792162,Galgate,Conder,0.333
Sladesbridge,50.509303,-4.80481,Sladesbridge,River Camel,0.133
Frilsham,51.453438,-1.228555,Frilsham,Pang,0.171
Langrick Bridge,53.009861,-0.11602,Hedgehog Bridge,Witham,0.751
Crakehill,54.153752,-1.350739,Cundall,River Swale,2.161
Wantage,51.588848,-1.431205,Wantage,Letcombe Brook,0.468
Hungerford Dun,51.414788,-1.539372,Hungerford,Dun,0.072
Sedgwick,54.280023,-2.755861,Sedgwick,Kent,0.732
Shaw,51.410964,-1.325174,Donnington,Lambourn,0.171
Huish Episcopi PS,51.031606,-2.799018,Langport,Longload Main Drain,0.984
Walthamstow,51.603395,-0.012274,Walthamstow,Ching Brook,1.544
"Yeading, Brookside Road",51.518702,-0.391757,Southall,Yeading Brook,0.597
Marsh Farm,51.448604,-0.339937,Twickenham,Crane,0.148
Rawcliffe,53.977937,-1.118128,Rawcliffe,Blue Beck,0.576
"Pilling, Broadfleet",53.932062,-2.905476,Pilling,Broadfleet,1.074
Donyatt,50.921842,-2.940546,Donyatt,River Isle,0.287
Staines Trading Estate,51.437123,-0.512241,Staines,Colne,1.174
Polstead,52.003937,0.890968,Polstead,River Box,0.193
Beckenham,51.406058,-0.024366,Beckenham,The Beck,0.659
Walton,51.3919,-0.421389,Walton-On-Thames,Thames,3.375
Ilkley,53.929346,-1.83091,Ilkley,River Wharfe,0.678
Pyotts Bridge,51.278294,-1.045224,Old Basing,Loddon,1.053
Orton Sluice,52.560077,-0.281816,Peterborough,Nene (Orton - Wash),1.273
Cummersdale,54.865626,-2.944447,Cummersdale,River Caldew,0.832
Carshalton Ponds,51.367034,-0.162812,Carshalton,Wandle,0.06
Blackwater Bridge,51.330889,-0.775604,Blackwater,River Blackwater,1.425
Portmarsh Lane,51.074943,-4.050919,Barnstaple,Coney Gut,0.234
Hexham Tanners Row In screen,54.973809,-2.105629,Hexham,Cockshaw Burn,0.006
Springfield,51.736622,0.479442,Chelmsford,River Chelmer,0.246
Calgarth (Trout beck Bridge),54.390814,-2.931474,Calgarth (Trout beck Bridge),Trout Beck,
Fairford,51.709394,-1.783971,Fairford,Coln,1.066
Colliters Brook,51.427707,-2.63391,Bishopsworth,Colliters Brook,0.374
Briantspuddle,50.739761,-2.25333,Briantspuddle,River Piddle,0.413
Scrasebridge,51.006255,-0.079888,Lindfield,Ouse [So],0.203
Bull Gill,54.732405,-3.405386,Allerby,River Ellen,0.631
Abingdon,51.684602,-1.282696,Abingdon,Stert,0.632
Haydon Bridge,54.976681,-2.226498,Haydon Bridge,River South Tyne,0.884
Church Warsop,53.206134,-1.165417,Market Warsop,River Meden,0.312
Clifford Bridge,50.695696,-3.739489,Drewsteignton,River Teign,0.727
Knaresborough,54.008443,-1.47066,Knaresborough,River Nidd,0.747
Winchelsea Strand Bridge,50.923434,0.72054,Winchelsea Beach,Brede,1.29
Boscastle New Mills,50.691075,-4.694207,Boscastle,River Valency,
Kingsclere,51.325621,-1.249358,Kingsclere,Kingsclere Brook,0.149
Farnborough,51.29741,-0.739058,Mytchett,River Blackwater,0.984
Mardock,51.814817,0.020302,Wareside,Ash (Hertfordshire),0.143
Throop,50.763832,-1.84203,Throop,River Stour,0.589
South Cerney,51.673897,-1.934146,South Cerney,Churn,0.667
Warwick,52.284932,-1.562658,Warwick,River Avon,1.24
Hall Place,51.445998,0.158543,Coldblow,Cray,0.26
Vauxhall Bridge,51.29566,1.088238,Hales Place,Great Stour,0.265
Heugh Mill,55.038816,-1.859136,Stamfordham,River Pont,0.191
Walsden,53.690792,-2.101414,Walsden,River Calder,0.174
Clyst Honiton,50.733158,-3.437637,Clyst Honiton,River Clyst,0.707
Manchester Racecourse,53.499526,-2.271756,Broughton,Irwell,1.694
Onibury,52.405995,-2.80328,Onibury,River Onny,1.341
Toddington,51.999754,-1.952083,Toddington,River Isbourne,0.375
Clanfield,51.719421,-1.588977,Clanfield,Clanfield Brook,0.677
Wedderburn Bridge,51.909034,-2.32673,Highleadon,River Leadon,0.399
Sheepbridge,51.381826,-0.966655,Swallowfield,Loddon,0.267
Bonehurst Bridge,51.186743,-0.163694,Horley,Burstow Stream,3.055
Parbold,53.588789,-2.773605,Newburgh,Douglas,0.879
Broadwey,50.653725,-2.473258,Weymouth,River Wey,0.259
Eastington,51.753386,-2.322244,Stroud,Frome (MI),0.504
Langford Village,51.895439,-1.13585,Launton,Langford Brook (Bicester),0.541
Blewbury,51.573061,-1.233747,Blewbury,Mill Brook,0.153
Shepperton Lock,51.382892,-0.458071,Weybridge,Thames,0.227
Stoneham Lane,50.953881,-1.370394,Swaythling,Monks Brook,0.23
Whetstone,52.553447,-1.171951,Whetstone,Whetstone Brook,0.226
Moreton,51.988876,-1.697906,Moreton in Marsh,Evenlode,0.156
Cassington Weir A,51.786053,-1.351198,Cassington,Evenlode,0.358
Sandon Bridge,51.720457,0.539834,Sandon,Sandon Brook,0.115
Pool Bridge,53.905078,-1.630095,Pool,River Wharfe,1.043
Shipton,51.861678,-1.594363,Shipton Under Wychwood,Evenlode,0.778
Parsons Street,51.207333,-3.596358,Porlock,Hawkcombe Stream,-0.016
Dronfield,53.302721,-1.472506,Dronfield,River Drone,0.112
Lamberhurst,51.1015,0.392574,Lamberhurst,Teise,0.554
Slade Brook,52.377799,-0.720415,Barton Seagrave,Ise,0.179
Darton,53.58418,-1.52866,Darton,River Dearne,0.522
Glenfield,52.648317,-1.215391,Glenfield,Rothley Brook,0.979
Shalford,51.220824,-0.569459,Shalford,Tillingbourne,0.221
Lowdham,53.024857,-1.028024,Epperstone,Dover Beck,0.201
Portinscale,54.604556,-3.159541,Portinscale,River Derwent,1.313
Knighton Side,51.436872,-1.577706,Whittonditch,Kennet,0.092
Shillingthorpe,52.68874,-0.412477,Greatford,West Glen (To Kates Bridge),0.101
Roxton,52.166195,-0.309298,Roxton,River Great Ouse,0.5
Upavon West,51.302514,-1.809882,Upavon,River Avon,0.212
Ashford in the Water,53.223665,-1.727504,Ashford in the Water,River Wye,0.581
Hannington Bridge,51.663588,-1.749677,Hannington Wick,Thames,2.719
Threadfold Way,53.613958,-2.427881,Eagley,Eagley Brook,0.41
Abingdon Lock,51.670388,-1.268257,Abingdon,Thames,0.103
Stockton Primrose Hill,54.574258,-1.316493,Stockton On Tees,Lustrum Beck,4.233
Ashburton Lower,50.5162,-3.757538,Ashburton,River Ashburn,0.267
Nunnington,54.215889,-0.969759,Nunnington,River Riccal,0.417
Allington,52.94938,-0.702125,Allington,Foston Beck,0.169
Catcliffe,53.390594,-1.361999,Catcliffe,River Rother,25.571
Castle Bytham,52.755941,-0.534509,Castle Bytham,West Glen (To Kates Bridge),0.147
Craigshill Wood,50.465604,-4.55955,St Neot,St Neot River,0.226
South Bridge,52.230338,-0.897436,Northampton,Nene,1.172
Yiewsley,51.509078,-0.47713,Yiewsley,Frays,0.79
Cambridge Baits Bite,52.236542,0.176925,Milton,River Cam,0.247
Harraby Green Business Park,54.879957,-2.917974,Harraby Green Carlisle,Petteril,0.785
Alton High Street,51.149557,-0.976568,Alton,Wey,0.086
"Seaton Mill, Barepot, Workington",54.650538,-3.52206,"Seaton Mill, Barepot, Workington",River Derwent,1
Hundred House Bridge,50.950221,0.630976,Broadland Row,Royal Military Canal Outflow Sea,0.541
Bishop Monkton,54.090598,-1.497502,Bishop Monkton,Bishop Monkton Beck,0.218
Tilford,51.181979,-0.750222,Tilford,Wey,0.69
Beeding Bridge,50.882836,-0.306828,Upper Beeding,Adur,1.268
Stanford Vale,51.632965,-1.505814,Stanford In The Vale,Ock,0.209
Dacre Bridge,54.628797,-2.837846,Dacre,Dacre Beck,0.499
Weldon Flood Storage Reservoir,52.493886,-0.649292,Weldon,Willow Brook,0.054
Cogenhoe,52.246264,-0.779863,Cogenhoe,Nene (N'hampton-Wollaston),0.349
Morwick,55.333528,-1.631891,Morwick,River Coquet,0.692
Whetstone Bridge,51.667039,-1.816893,Marston Meysey,Marston Meysey Brook,0.132
Keadby,53.591975,-0.738178,Keadby,River Trent,3.379
Riseley,52.249147,-0.485347,Riseley,River Kym,1.135
Brushford,51.021855,-3.53136,Brushford,River Barle,0.562
Webbs Hole Sluice,52.320879,-0.002271,Over,Swavesey Drain,0.572
Dutlas,52.394857,-3.160345,Dutlas,River Teme,0.54
Lanchester Front Street,54.82499,-1.744671,Lanchester,Smallhope Burn,0.313
Fotheringhay,52.526819,-0.428685,Fotheringhay,Willow Brook,0.19
Pimlico Brook,53.877796,-2.387601,Clitheroe,Pimlico Brook,0.208
Perrancoombe,50.340195,-5.15746,Perranporth,Perrancombe Stream,0.341
Thornton Heath,51.394765,-0.097302,South Norwood,Norbury Brk,1.024
Tamarstone Bridge,50.823657,-4.438698,Kingford,River Tamar,0.852
"Ickenham, Swakeleys Road",51.565274,-0.452775,Ickenham,Pinn,0.8
Tenbury,52.313207,-2.591539,Tenbury Wells,River Teme,1.549
Kenwith Castle,51.023856,-4.236897,Kenwith,Kenwith Stream,0.476
Kingscroft Road,51.85196,-2.18652,Gloucester,Wotton Brook,0.364
Selby Lock,53.782406,-1.057504,Selby,River Ouse,3.94
Crudgington,52.754258,-2.534083,Crudgington,River Strine,0.653
West Marsh Washlands,53.707591,-1.056828,Hirst Courtney,West Bank Pond,0.544
Great Corby,54.890119,-2.830743,Wetheral,Eden,1.562
Shipley Gate,53.003454,-1.310004,Shipley,River Erewash,1.711
Wyre Piddle,52.126787,-2.056054,Wyre Piddle,Piddle Brook,0.239
Hady Hill,53.233706,-1.418671,Chesterfield,River Rother,1.147
"Hillingdon, Charville Lane",51.541775,-0.418198,Hillingdon,Yeading Brook,0.847
Taw Bridge,50.845457,-3.886253,Brushford,River Taw,0.287
Riding Mill,54.952174,-1.959366,Riding Mill,River Tyne,1.625
Hodder Place,53.855184,-2.451318,Great Mitton,Hodder,0.76
