Station,Lat,Long,Town,River,Water Level
Tixover,52.587333,-0.568186,Tixover,Welland (Rockingham - Stamford),0.504
Reading,51.461325,-0.967884,Reading,Thames,6.725
Croft,54.483499,-1.553528,Croft-on-Tees,River Tees,0.938
Knighton Main,51.437409,-1.576981,Whittonditch,Kennet,0.23
Gloucester (Severn),51.864982,-2.252201,Gloucester,River Severn,1.208
Westmill,52.085266,0.665897,Pentlow,River Stour,0.461
Lomeshaye,53.836305,-2.232297,Nelson,River Calder,0.693
Whittington,53.266027,-1.410737,Old Whittington,River Rother,0.768
Witcombe,51.840037,-2.142115,Gloucester,Horsbere Brook,0.091
Gatwick Link,51.160212,-0.163604,Horley,Gatwick Stream,0.39
Gargrave,53.982002,-2.097548,Gargrave,River Aire,0.392
Pioneer Mills,53.561524,-2.316991,Radcliffe,Irwell,1.323
Iffley Lock,51.72955,-1.239792,Kennington,Thames,0.172
Bredon,52.03494,-2.116566,Bredon,River Avon,0.835
Darlaston,52.916247,-2.171867,Meaford,River Trent,1.004
Diss,52.371419,1.099743,Diss,River Waveney,0.201
East Bridge Bridport,50.731934,-2.752192,Bridport,River Asker,0.214
Woolsington,55.023247,-1.698085,Woolsington,Ouse Burn,0.126
Chertsey Bourne,51.402823,-0.539779,Thorpe,Chertsey Bourne,0.716
Izaak Walton,53.055864,-1.782274,Ilam,River Dove,0.529
"Botcherby Bridge, Carlisle",54.89341,-2.910796,"Botcherby, Carlisle",River Petteril,0.944
Stainfield Beck,53.250167,-0.313829,Kingthorpe,Stainfield Beck,0.256
Horncastle Banks Road,53.208433,-0.108817,Horncastle,Waring,0.269
Colwick,52.952707,-1.07772,Holme Pierrepont,River Trent,1.956
Edenbridge,51.194078,0.065165,Edenbridge,Eden Tributary  Medway,1.818
Castle Howe,54.666243,-3.236916,Castle Howe,Lake Bassenthwaite,2.224
Frampton Cotterell,51.537816,-2.481077,Frampton Cotterell,Bristol Frome,0.23
Ewen,51.674733,-1.9904,Ewen,Thames,0.285
Brown Mill,51.171609,0.799508,Hothfield,Great Stour,0.354
Beerwall Upstream,51.079805,-2.869413,Othery,Sowy,3.269
Gillingham Le Neubourg Way,51.037252,-2.278768,Gillingham,River Stour,0.421
Cliff Bridge,54.986798,-2.920411,Kirklinton,Lyne,1.054
Beddington Park,51.373583,-0.138986,Beddington,Wandle,0.306
Boynton,54.093099,-0.263772,Boynton,River Gypsey Race,0.085
Cricklade,51.646694,-1.865536,Cricklade,Thames,0.428
Allington Marina,51.291026,0.511282,Sandling,Medway,0.209
Sheffield Oakbrook Road,53.367798,-1.521432,Sheffield,Porter Brook,0.093
West Drayton,51.500923,-0.482762,West Drayton,Colne,0.422
Bampton Grange,54.555577,-2.743431,Bampton Grange,River Lowther,16.154
Arlesey,52.026751,-0.266941,Arlesey,River Hiz,0.123
Hovingham,54.173347,-0.984145,Hovingham,Hovingham Beck,0.1
Wigan,53.54925,-2.625999,Wigan,Douglas,0.349
Bures Bridge,51.972195,0.774544,Bures,River Stour,0.159
Rose in Vale,50.311991,-5.166154,Mithian,Perrancombe Stream,0.331
Bruton Dam,51.116056,-2.430837,Bruton,River Brue,0.66
Halsewater,51.021033,-3.132608,Bishops Hull,Halsewater,0.327
Coldgate Mill,55.517539,-2.005254,North Middleton,Wooler Water,0.158
Shelburne Road,51.891766,-2.103713,Cheltenham,Hatherley Brook,
Davis Road,53.411889,-3.088778,Moreton,Birket,0.833
Hampstead Suburb,51.584844,-0.180888,Finchley,Mutton Brook,0.849
Crowhurst,50.878052,0.500069,Crowhurst,Cuckmere,5.033
Kegworth,52.831898,-1.273539,Kegworth,River Soar,0.564
Brigsley,53.496174,-0.11262,Brigsley,Waithe Beck,0.239
Bourn Brook,52.192643,-0.064443,Bourn,Bourn Brook,0.332
Low Briery,54.608017,-3.107571,Keswick,Greta,1.297
